small_id,small_x,small_y,large_id,large_x,large_y
4,1868.5,2024.0,403,1909.5,324.5
5,2224.5,2275.0,403,1909.5,324.5
7,1182.5,1903.0,71,1913.5,331.5
9,1403.5,1789.5,71,1913.5,331.5
10,1499.5,1377.0,71,1913.5,331.5
11,865.5,1627.5,71,1913.5,331.5
12,2431.0,1657.0,403,1909.5,324.5
13,1326.0,1044.5,71,1913.5,331.5
18,2123.0,1213.5,403,1909.5,324.5
19,2221.0,1185.0,403,1909.5,324.5
21,1385.5,1015.5,71,1913.5,331.5
23,1907.5,382.5,403,1909.5,324.5
24,2484.5,2051.0,403,1909.5,324.5
26,968.0,2024.0,71,1913.5,331.5
27,868.5,1836.5,71,1913.5,331.5
28,1725.5,1840.5,403,1909.5,324.5
29,1486.0,700.5,403,1909.5,324.5
30,920.0,2059.5,71,1913.5,331.5
31,1561.5,1574.5,71,1913.5,331.5
32,2809.0,1100.0,403,1909.5,324.5
33,1504.0,1404.5,71,1913.5,331.5
34,3000.0,164.5,403,1909.5,324.5
35,421.5,840.0,71,1913.5,331.5
37,165.5,1399.0,71,1913.5,331.5
38,1071.0,611.0,71,1913.5,331.5
39,779.0,1097.5,71,1913.5,331.5
40,2582.0,839.5,403,1909.5,324.5
41,1806.5,513.0,403,1909.5,324.5
42,2594.0,100.0,403,1909.5,324.5
43,2470.0,1001.0,403,1909.5,324.5
44,2344.0,770.0,403,1909.5,324.5
45,2791.5,856.5,403,1909.5,324.5
46,1606.0,268.5,403,1909.5,324.5
47,2643.0,558.0,403,1909.5,324.5
48,2945.0,693.5,403,1909.5,324.5
49,121.5,179.0,71,1913.5,331.5
50,1751.0,56.0,403,1909.5,324.5
51,2615.5,214.0,403,1909.5,324.5
52,2619.0,105.0,403,1909.5,324.5
53,2583.5,155.5,403,1909.5,324.5
54,2592.0,149.5,403,1909.5,324.5
